场景,状态/LD,窗口,,HEX,数据10进制DEC,DC:6,PWM:10,转化电流幅值DC,转化电流DUTY,实际有效电流,功率/W,,IP2_input,VIP_input,V0P_input,Tcon(after OSD mixer),Tcon_output(before MOD),,,,,,,,,,,,,,,,,,,,,,
,,,B2,70A8,28840,28,168,26.66666667,0.164222874,4.379276637,,B(Cb),800,811,798,918,918,,,,,,,,,,,,,,,,,,,,,,
品红（红235+蓝235）,TSR计算画质/SDR,80%,B1-R,A621,42529,41,545,39.04761905,0.532746823,20.802495,314,R（Cr),940,949,941,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,268,243,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,70A9,28841,28,169,26.66666667,0.165200391,4.40534376,,B(Cb),940,883,873,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
混色蓝多红少趋势,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝235,TSR计算画质/SDR,80%,B1-R,A566,42342,41,358,39.04761905,0.349951124,13.66475818,,R（Cr),0,467,489,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,68,63,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,710E,28942,28,270,26.66666667,0.263929619,7.038123167,,B(Cb),940,993,1003,1022,1020,,,,,,,,,,,,,,,,,,,,,,
混色（蓝235+红50）,TSR计算画质/SDR,80%,B1-R,A580,42368,41,384,39.04761905,0.375366569,14.65717079,312,R（Cr),200,570,582,202,201,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,111,108,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,71A3,29091,28,419,26.66666667,0.409579668,10.92212447,,B(Cb),940,969,978,1022,1020,,,,,,,,,,,,,,,,,,,,,,
混色（蓝235+红100）,TSR计算画质/SDR,80%,B1-R,A566,42342,41,358,39.04761905,0.349951124,13.66475818,,R（Cr),400,673,669,435,433,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,153,144,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,710E,28942,28,270,26.66666667,0.263929619,7.038123167,,B(Cb),940,946,946,1022,1020,,,,,,,,,,,,,,,,,,,,,,
